millis,stamp,datetime,soilmoisture
12585999, 1565961060, 2019/8/16 13:11:0, 633
12616998, 1565961060, 2019/8/16 13:11:0, 632
12648000, 1565961060, 2019/8/16 13:11:0, 633
12678999, 1565961060, 2019/8/16 13:11:0, 632
12710000, 1565961060, 2019/8/16 13:11:0, 632
12741000, 1565961060, 2019/8/16 13:11:0, 632
12771998, 1565961060, 2019/8/16 13:11:0, 633
12802999, 1565961060, 2019/8/16 13:11:0, 632
12833999, 1565961060, 2019/8/16 13:11:0, 632
12864999, 1565961060, 2019/8/16 13:11:0, 632
12895998, 1565961060, 2019/8/16 13:11:0, 632
12927000, 1565961060, 2019/8/16 13:11:0, 633
12958000, 1565961060, 2019/8/16 13:11:0, 632
12988998, 1565961060, 2019/8/16 13:11:0, 633
13020000, 1565961060, 2019/8/16 13:11:0, 632
13050998, 1565961060, 2019/8/16 13:11:0, 633
13081999, 1565961060, 2019/8/16 13:11:0, 633
13112998, 1565961060, 2019/8/16 13:11:0, 633
13144000, 1565961060, 2019/8/16 13:11:0, 632
13174999, 1565961060, 2019/8/16 13:11:0, 633
13205999, 1565961060, 2019/8/16 13:11:0, 633
13237000, 1565961060, 2019/8/16 13:11:0, 633
13267999, 1565961060, 2019/8/16 13:11:0, 633
13298999, 1565961060, 2019/8/16 13:11:0, 633
13329998, 1565961060, 2019/8/16 13:11:0, 633
13361000, 1565961060, 2019/8/16 13:11:0, 633
13391998, 1565961060, 2019/8/16 13:11:0, 633
13422999, 1565961060, 2019/8/16 13:11:0, 633
13454000, 1565961060, 2019/8/16 13:11:0, 633
13484998, 1565961060, 2019/8/16 13:11:0, 633
13515999, 1565961060, 2019/8/16 13:11:0, 633
13546999, 1565961060, 2019/8/16 13:11:0, 633
13578000, 1565961060, 2019/8/16 13:11:0, 633
13608998, 1565961060, 2019/8/16 13:11:0, 633
13639999, 1565961060, 2019/8/16 13:11:0, 633
13671000, 1565961060, 2019/8/16 13:11:0, 633
13702000, 1565961060, 2019/8/16 13:11:0, 633
13732999, 1565961060, 2019/8/16 13:11:0, 633
13763999, 1565961060, 2019/8/16 13:11:0, 633
13794999, 1565961060, 2019/8/16 13:11:0, 633
13825998, 1565961060, 2019/8/16 13:11:0, 633
13856999, 1565961060, 2019/8/16 13:11:0, 633
13888000, 1565961060, 2019/8/16 13:11:0, 633
13918999, 1565961060, 2019/8/16 13:11:0, 633
13949999, 1565961060, 2019/8/16 13:11:0, 633
13980998, 1565961060, 2019/8/16 13:11:0, 633
14012000, 1565961060, 2019/8/16 13:11:0, 633
14042998, 1565961060, 2019/8/16 13:11:0, 633
14074000, 1565961060, 2019/8/16 13:11:0, 633
14104999, 1565961060, 2019/8/16 13:11:0, 634
14135999, 1565961060, 2019/8/16 13:11:0, 633
14166999, 1565961060, 2019/8/16 13:11:0, 633
14198000, 1565961060, 2019/8/16 13:11:0, 633
14229000, 1565961060, 2019/8/16 13:11:0, 633
14259998, 1565961060, 2019/8/16 13:11:0, 633
14290999, 1565961060, 2019/8/16 13:11:0, 633
14321999, 1565961060, 2019/8/16 13:11:0, 633
14353000, 1565961060, 2019/8/16 13:11:0, 633
14383998, 1565961060, 2019/8/16 13:11:0, 633
14415000, 1565961060, 2019/8/16 13:11:0, 633
14445999, 1565961060, 2019/8/16 13:11:0, 633
14476998, 1565961060, 2019/8/16 13:11:0, 633
14507999, 1565961060, 2019/8/16 13:11:0, 633
14538999, 1565961060, 2019/8/16 13:11:0, 633
14569999, 1565961060, 2019/8/16 13:11:0, 633
14600998, 1565961060, 2019/8/16 13:11:0, 633
14631999, 1565961060, 2019/8/16 13:11:0, 633
14663000, 1565961060, 2019/8/16 13:11:0, 633
14693999, 1565961060, 2019/8/16 13:11:0, 634
14725000, 1565961060, 2019/8/16 13:11:0, 633
14755999, 1565961060, 2019/8/16 13:11:0, 634
14786999, 1565961060, 2019/8/16 13:11:0, 633
14817998, 1565961060, 2019/8/16 13:11:0, 633
14849000, 1565961060, 2019/8/16 13:11:0, 633
14880000, 1565961060, 2019/8/16 13:11:0, 633
14910999, 1565961060, 2019/8/16 13:11:0, 633
14941999, 1565961060, 2019/8/16 13:11:0, 633
14972999, 1565961060, 2019/8/16 13:11:0, 633
15004000, 1565961060, 2019/8/16 13:11:0, 634
15034998, 1565961060, 2019/8/16 13:11:0, 633
15065999, 1565961060, 2019/8/16 13:11:0, 633
15096999, 1565961060, 2019/8/16 13:11:0, 633
15127999, 1565961060, 2019/8/16 13:11:0, 633
15158999, 1565961060, 2019/8/16 13:11:0, 633
